1	n-m	awb	ʼâb	heb	- אָב	a primitive word;		◊meaning:	- def: father	- ', in a literal and immediate, or figurative and remote application'	usage: chief, (fore-) father(-less), × patrimony, principal. Compare names in	  'Abi-'.																																						
2	n-m	ab	ʼab	arc	- אַב	- (Aramaic) corresponding to	  - '@src': H1	  - '1'	usage: father.																																									
4070	n-m	med-ore'	mᵉdôwr	arc	- מְדוֹר	- (Aramaic) or	  - '@pron': med-ore'	  - '@xlit': mᵉdôr	  - מְדֹר	- ; (Aramaic), or	- w:	  - '@pron': med-awr'	  - '@xlit': mᵉdâr	  - מְדָר	- ; (Aramaic), from	- w:	  - '@src': H1753	  - '1753'	- ;	◊meaning:	- a	- def: dwelling	usage: dwelling.																											
4071	n-f	med-oo-raw'	mᵉdûwrâh	heb	- מְדוּרָה	- or	  - '@pron': med-ooraw'	  - '@xlit': mᵉdurâh	  - מְדֻרָה	- ; from	- w:	  - '@src': H1752	  - '1752'	- in the sense of	- def: accumulation	- ;	◊meaning:	- a	- def: pile	- of fuel	usage: pile (for fire).																													
4072	n-m	mid-kheh'	midcheh	heb	- מִדְחֶה	- from	  - '@src': H1760	  - '1760'	- ;	◊meaning:	  def: overthrow	usage: ruin.																																						
4073	n-f	med-akh-faw'	mᵉdachphâh	heb	- מְדַחְפָה	- from	  - '@src': H1765	  - '1765'	- ;	◊meaning:	- a	- def: push	- ', i.e.'	- def: ruin	usage: overthrow.																																			
4074	n-pr-m n-pr-loc	maw-dah'-ee	Mâday	x-pn	- מָדַי	of foreign derivation;		◊meaning:	- def: Madai	- ', a country of central Asia'	usage: Madai, Medes, Media.																																							
4075	a	maw-dah'-ee	Mâday	x-pn	- מָדַי	- patrial from	  - '@src': H4074	  - '4074'	- ;	◊meaning:	- a	- def: Madian	- or native of Madai	usage: Mede.																																				
4076	n-pr-m n-pr-loc	maw-dah'-ee	Mâday	arc	- מָדַי	- (Aramaic) corresponding to	  - '@src': H4074	  - '4074'	usage: Mede(-s).																																									
4077	n-pr-m	maw-dah'-ee	Mâday	arc	- מָדַי	- (Aramaic) corresponding to	  - '@src': H4075	  - '4075'	usage: Median.																																									
4078	adv	mad-dah'-ee	madday	heb	- מַדַּי	- from	  - '@src': H4100	  - '4100'	- and	- w:	  - '@src': H1767	  - '1767'	- ;	◊meaning:	- def: what	- (is)	- def: enough	- ', i.e.'	- def: sufficiently	usage: sufficiently.																														
4079	n-m	mid-yawn'	midyân	heb	- מִדְיָן	- a variation for	  - '@src': H4066	  - '4066'	usage: brawling, contention(-ous).																																									
4080	n-pr-m n-pr-loc	mid-yawn'	Midyân	x-pn	- מִדְיָן	- the same as	  - '@src': H4079	  - '4079'	- ;	◊meaning:	- def: Midjan	- ', a son of Abraham; also his country and (collectively) his descendants'	usage: Midian, Midianite.																																					
4081	n-pr-loc	mid-deen'	Middîyn	heb	- מִדִּין	- a variation for	  - '@src': H4080	  - '4080'	usage: Middin.																																									
4082	n-f	med-ee-naw'	mᵉdîynâh	heb	- מְדִינָה	- from	  - '@src': H1777	  - '1777'	- ;	◊meaning:	- properly, a	- def: judgeship	- ', i.e.'	- def: jurisdiction	- ; by implication, a	- def: district	- (as ruled by a judge); generally, a	- def: region	usage: (× every) province.																															
4083	n-f	med-ee-naw'	mᵉdîynâh	arc	- מְדִינָה	- (Aramaic) corresponding to	  - '@src': H4082	  - '4082'	usage: province.																																									
4084	a	mid-yaw-nee'	Midyânîy	x-pn	- מִדְיָנִי	- patronymical or patrial from	  - '@src': H4080	  - '4080'	- ;	◊meaning:	- a	- def: Midjanite	- or descendant (native) of Midjan	usage:	- Midianite. Compare	- w:	  - '@src': H4092	  - '4092'	- .																															
4085	n-f	med-o-kaw'	mᵉdôkâh	heb	- מְדֹכָה	- from	  - '@src': H1743	  - '1743'	- ;	◊meaning:	- a	- def: mortar	usage: mortar.																																					
4086	n-pr-loc	mad-mane'	Madmên	x-pn	- מַדְמֵן	- from the same as	  - '@src': H1828	  - '1828'	- ; dunghill;	◊meaning:	- def: Madmen	- ', a place in Palestine'	usage: Madmen.																																					
4087	n-f	mad-may-naw'	madmênâh	heb	- מַדְמֵנָה	- feminine from the same as	  - '@src': H1828	  - '1828'	- ;	◊meaning:	- a	- def: dunghill	usage: dunghill.																																					
4088	n-pr-loc	mad-may-naw'	Madmênâh	x-pn	- מַדְמֵנָה	- the same as	  - '@src': H4087	  - '4087'	- ;	◊meaning:	- def: Madmenah	- ', a place in Palestine'	usage: Madmenah.																																					
4089	n-pr-m n-pr-loc	mad-man-naw'	Madmannâh	x-pn	- מַדְמַנָּה	- a variation for	  - '@src': H4087	  - '4087'	- ;	◊meaning:	- def: Madmannah	- ', a place in Palestine'	usage: Madmannah.																																					
4090	n-m	med-awn'	mᵉdân	heb	- מְדָן	- a form of	  - '@src': H4066	  - '4066'	usage: discord, strife.																																									
4091	n-pr-m	med-awn'	Mᵉdân	x-pn	- מְדָן	- the same as	  - '@src': H4090	  - '4090'	- ;	◊meaning:	- def: Medan	- ', a son of Abraham'	usage: Medan.																																					
4092	a	med-aw-nee'	Mᵉdânîy	heb	- מְדָנִי	- a variation of	  - '@src': H4084	  - '4084'	usage: Midianite.																																									
4093	n-m	mad-daw'	maddâʻ	heb	- מַדָּע	- or	  - '@pron': mad-dah'	  - '@xlit': maddaʻ	  - מַדַּע	- ; from	- w:	  - '@src': H3045	  - '3045'	- ;	◊meaning:	- def: intelligence	- or	- def: consciousness	usage: knowledge, science, thought.																															
4094	n-f	mad-kaw-raw'	madqârâh	heb	- מַדְקָרָה	- from	  - '@src': H1856	  - '1856'	- ;	◊meaning:	- a	- def: wound	usage: piercing.																																					
4095	n-f	mad-ray-gaw'	madrêgâh	heb	- מַדְרֵגָה	from an unused root ◊meaning to step;		◊meaning:	- properly, a	- def: step	- ; by implication, a	- def: steep	- or	- def: inaccessible place	usage: stair, steep place.																																			
4096	n-m	mid-rawk'	midrâk	heb	- מִדְרָךְ	- from	  - '@src': H1869	  - '1869'	- ;	◊meaning:	- a	- def: treading	- ', i.e. a place for stepping on'	usage: (foot-) breadth.																																				
4097	n-m	mid-rawsh'	midrâsh	heb	- מִדְרָשׁ	- from	  - '@src': H1875	  - '1875'	- ;	◊meaning:	- properly, an	- def: investigation	- ', i.e. (by implication) a'	- def: treatise	- or	- def: elaborate compilation	usage: story.																																	
4098	n-f	med-oosh-shaw'	mᵉdushshâh	heb	- מְדֻשָּׁה	- from	  - '@src': H1758	  - '1758'	- ;	◊meaning:	- a	- def: threshing	- ', i.e. (concretely and figuratively)'	- def: down-trodden	- people	usage: threshing.																																		
4099	n-pr-m	med-aw-thaw'	Mᵉdâthâʼ	x-pn	- מְדָתָא	note: xlit Mᵉdâthâ corrected to Mᵉdâthâʼ		source: of Persian origin;	◊meaning:	- def: Medatha	- ', the father of Haman'	usage: Hammedatha (including the article).																																						
4100	i	maw	mâh	heb	- מָה	- or	  - '@pron': mah	  - '@xlit': mah	  - מַה	- ; or	- w:	  - '@pron': maw	  - '@xlit': mâ	  - מָ	- ; or	- w:	  - '@pron': mah	  - '@xlit': ma	  - מַ	- ; also	- w:	  - '@pron': meh	  - '@xlit': meh	  - מֶה	- ; a primitive particle;	◊meaning:	- properly, interrogative	- def: what?	- (including	- def: how?	- def: why?	- def: when?	- ); but also exclamation,	- def: what!	- (including	- def: how!	- ), or indefinitely	- def: what	- (including	- def: whatever	- ', and even relatively,'	- def: that which	- ); often used with prefixes in various adverbial or conjunctive senses	usage: how (long, oft, (-soever)), (no-) thing, what (end, good, purpose, thing),	  whereby(-fore, -in, -to, -with), (for) why.					
4101	i	maw	mâh	arc	- מָה	- (Aramaic) corresponding to	  - '@src': H4100	  - '4100'	usage: how great (mighty), that which, what(-soever), why.																																									
4102	v	maw-hah'	mâhahh	heb	- מָהַהּ	- apparently a denominative from	  - '@src': H4100	  - '4100'	- ;	◊meaning:	- properly, to	- def: question	- or	- def: hesitate	- ', i.e. (by implication) to'	- def: be reluctant	usage: delay, linger, stay selves, tarry.																																	
4103	n-f	meh-hoo-maw'	mᵉhûwmâh	heb	- מְהוּמָה	- from	  - '@src': H1949	  - '1949'	- ;	◊meaning:	- def: confusion	- or uproar	usage: destruction, discomfiture, trouble, tumult, vexation, vexed.																																					
4104	n-pr-m	meh-hoo-mawn'	Mᵉhûwmân	x-pn	- מְהוּמָן	of Persian origin;		◊meaning:	- def: Mehuman	- ', a eunuch of Xerxes'	usage: Mehuman.																																							
4105	n-pr-m n-pr-f	meh-hay-tab-ale'	Mᵉhêyṭabʼêl	x-pn	- מְהֵיטַבְאֵל	- from	  - '@src': H3190	  - '3190'	- (augmented) and	- w:	  - '@src': H410	  - '410'	- ;	- def: bettered of God	- ;	◊meaning:	- def: Mehetabel	- ', the name of an Edomitish man and woman'	usage: Mehetabeel, Mehetabel.																															
4106	a	maw-here'	mâhîyr	heb	- מָהִיר	- or	  - '@pron': maw-here'	  - '@xlit': mâhir	  - מָהִר	- ; from	- w:	  - '@src': H4116	  - '4116'	- ;	◊meaning:	- def: quick	- ; hence,	- def: skilful	usage: diligent, hasty, ready.																															
4107	v	maw-hal'	mâhal	heb	- מָהַל	a primitive root;		◊meaning:	- properly, to	- def: cut down	- or	- def: reduce	- ', i.e. by implication, to'	- def: adulterate	usage: mixed.																																			
4108	n-m	mah-lake'	mahlêk	heb	- מַהְלֵךְ	- from	  - '@src': H1980	  - '1980'	- ;	◊meaning:	- a	- def: walking	- (plural collectively), i.e.	- def: access	usage: place to walk.																																			
4109	n-m	mah-hal-awk'	mahălâk	heb	- מַהֲלָךְ	- from	  - '@src': H1980	  - '1980'	- ;	◊meaning:	- a	- def: walk	- ', i.e. a'	- def: passage	- or a	- def: distance	usage: journey, walk.																																	
4110	n-m	mah-hal-awl'	mahălâl	heb	- מַהֲלָל	- from	  - '@src': H1984	  - '1984'	- ;	◊meaning:	  def: fame	usage: praise.																																						
4111	n-pr-m	mah-hal-al-ale'	Mahălalʼêl	x-pn	- מַהֲלַלְאֵל	- from	  - '@src': H4110	  - '4110'	- and	- w:	  - '@src': H410	  - '410'	- ; praise of God;	◊meaning:	- def: Mahalalel	- ', the name of an antediluvian patriarch and of an Israelite'	usage: Mahalaleel.																																	
4112	n-f	mah-hal-oom-maw'	mahălummâh	heb	- מַהֲלֻמָּה	- from	  - '@src': H1986	  - '1986'	- ;	◊meaning:	- a	- def: blow	usage: stripe, stroke.																																					
4113	n-f	mah-ham-o-raw'	mahămôrâh	heb	- מַהֲמֹרָה	from an unused root of uncertain ◊meaning;		◊meaning:	- perhaps	- def: an abyss	usage: deep pit.																																							
4114	n-f	mah-pay-kaw'	mahpêkâh	heb	- מַהְפֵּכָה	- from	  - '@src': H2015	  - '2015'	- ;	◊meaning:	- a	- def: destruction	usage: when...overthrew, overthrow(-n).																																					
4115	n-f	mah-peh'-keth	mahpeketh	heb	- מַהְפֶּכֶת	- from	  - '@src': H2015	  - '2015'	- ;	◊meaning:	- a	- def: wrench	- ', i.e. the'	- def: stocks	usage: prison, stocks.																																			
4116	v	maw-har'	mâhar	heb	- מָהַר	a primitive root;		◊meaning:	- properly, to	- def: be liquid	- or	- def: flow	- easily, i.e. (by implication); to	- def: hurry	- (in a good or a bad sense); often used (with another verb) adverbially,	- def: promptly	usage: be carried headlong, fearful, (cause to make, in, make) haste(-n, -ily),	  (be) hasty, (fetch, make ready) × quickly, rash, × shortly, (be so) × soon,	  make speed, × speedily, × straightway, × suddenly, swift.																															
4117	v	maw-har'	mâhar	heb	- מָהַר	- a primitive root (perhaps rather the same as	  - '@src': H4116	  - '4116'	- through the idea of readiness in assent);	◊meaning:	- to	- def: bargain	- (for a wife), i.e. to	- def: wed	usage: endow, × surely.																																			
4118	a adv	mah-hare'	mahêr	heb	- מַהֵר	- from	  - '@src': H4116	  - '4116'	- ;	◊meaning:	- properly,	- def: hurrying	- ; hence (adverbially)	- def: in a hurry	usage: hasteth, hastily, at once, quickly, soon, speedily, suddenly.																																			
4119	n-m	mo'-har	môhar	heb	- מֹהַר	- from	  - '@src': H4117	  - '4117'	- ;	◊meaning:	- a	- def: price	- (for a wife)	usage: dowry.																																				
4120	n-f	meh-hay-raw'	mᵉhêrâh	heb	- מְהֵרָה	- feminine of	  - '@src': H4118	  - '4118'	- ;	◊meaning:	- properly, a	- def: hurry	- ; hence (adverbially)	- def: promptly	usage: hastily, quickly, shortly, soon, make (with) speed(-ily), swiftly.																																			
4121	n-pr-m	mah-har-ah'-ee	Mahăray	x-pn	- מַהֲרַי	- from	  - '@src': H4116	  - '4116'	- ;	- def: hasty	- ;	◊meaning:	- def: Maharai	- ', an Israelite'	usage: Maharai.																																			
4122	n-pr-m	mah-hare' shaw-lawl' khawsh baz	Mahêr Shâlâl Châsh Baz	x-pn	- מַהֵר שָׁלָל חָשׁ בַּז	- from	  - '@src': H4118	  - '4118'	- and	- w:	  - '@src': H7998	  - '7998'	- and	- w:	  - '@src': H2363	  - '2363'	- and	- w:	  - '@src': H957	  - '957'	- ;	- def: hasting	- (is he (the enemy) to the)	- def: booty	- ','	- def: swift	- (to the)	- def: prey	- ;	◊meaning:	- def: Maher-Shalal-Chash-Baz	- ; the symbolical name of the son of Isaiah	usage: Maher-sha-lal-bash-baz.																	
4123	n-f	mah-hath-al-law'	mahăthallâh	heb	- מַהֲתַלָּה	- from	  - '@src': H2048	  - '2048'	- ;	◊meaning:	- a	- def: delusion	usage: deceit.																																					
4124	n-pr-m n-pr-loc	mo-awb	Môwʼâb	x-pn	- מוֹאָב	- from a prolonged form of the prepositional prefix m- and	  - '@src': H1	  - '1'	- ;	- def: from	- (her [the mother's])	- def: father	- ;	◊meaning:	- def: Moab	- ', an incestuous son of Lot; also his territory and descendants'	usage: Moab.																																	
4125	a	mo-aw-bee'	Môwʼâbîy	x-pn	- מוֹאָבִי	- feminine	  - '@pron': mo-aw-bee-yaw'	  - '@xlit': Môwʼâbîyâh	  - מוֹאָבִיָּה	- ; or	- w:	  - '@pron': mo-awbeeth'	  - '@xlit': Môwʼâbîyth	  - מוֹאָבִית	- note: xlit Môwâbîyth corrected to Môwʼâbîyth	- ; patronymical from	- w:	  - '@src': H4124	  - '4124'	- ;	◊meaning:	- a	- def: Moabite	- or	- def: Moabitess	- ', i.e. a descendant from Moab'	usage: (woman) of Moab, Moabite(-ish, -ss).																							
4126	n-m	mo-baw'	môwbâʼ	heb	- מוֹבָא	- by transp. for	  - '@src': H3996	  - '3996'	- ;	◊meaning:	- an	- def: entrance	usage: coming.																																					
4127	v	moog	mûwg	heb	- מוּג	a primitive root;		◊meaning:	- to	- def: melt	- ', i.e. literally (to'	- def: soften	- ', flow down,'	- def: disappear	- ), or figuratively (to	- def: fear	- ','	- def: faint	- )	usage: consume, dissolve, (be) faint(-hearted), melt (away), make soft.																														
4128	v	mood	mûwd	heb	- מוּד	a primitive root;		◊meaning:	- to	- def: shake	usage: measure.																																							
4129	n-m	mo-dah'	môwdaʻ	heb	- מוֹדַע	- or rather	  - '@pron': mo-daw'	  - '@xlit': môdâʻ	  - מֹדָע	- ; from	- w:	  - '@src': H3045	  - '3045'	- ;	◊meaning:	- an	- def: acquaintance	usage: kinswoman.																																
4130	n-f	mo-dah'-ath	môwdaʻath	heb	- מוֹדַעַת	- from	  - '@src': H3045	  - '3045'	- ;	◊meaning:	  def: acquaintance	usage: kindred.																																						
4131	v	mote	môwṭ	heb	- מוֹט	a primitive root;		◊meaning:	- to	- def: waver	- ; by implication, to	- def: slip	- ','	- def: shake	- ','	- def: fall	usage: be carried, cast, be out of course, be fallen in decay, × exceedingly,	  fall(-ing down), be (re-) moved, be ready, shake, slide, slip.																																
4132	n-m	mote	môwṭ	heb	- מוֹט	- from	  - '@src': H4131	  - '4131'	- ;	◊meaning:	- a	- def: wavering	- ', i.e.'	- def: fall	- ; by implication, a	- def: pole	- (as shaking); hence, a	- def: yoke	- (as essentially a bent pole)	usage: bar, be moved, staff, yoke.																														
4133	n-f	mo-taw'	môwṭâh	heb	- מוֹטָה	- feminine of	  - '@src': H4132	  - '4132'	- ;	◊meaning:	- a	- def: pole	- ; by implication, an ox-	- def: bow	- ; hence, a	- def: yoke	- (either literal or figurative)	usage: bands, heavy, staves, yoke.																																
4134	v	mook	mûwk	heb	- מוּךְ	a primitive root;		◊meaning:	- to	- def: become thin	- ', i.e. (figuratively)'	- def: be impoverished	usage: be (waxen) poor(-er).																																					
4135	v	mool	mûwl	heb	- מוּל	a primitive root;		◊meaning:	- to	- def: cut	- short, i.e.	- def: curtail	- (specifically the prepuce, i.e. to	- def: circumcise	- ); by implication, to	- def: blunt	- ; figuratively, to	- def: destroy	usage: circumcise(-ing), selves), cut down (in pieces), destroy, × must needs.																															
4136	n-m	mool	mûwl	heb	- מוּל	- or	  - '@pron': mole	  - '@xlit': môwl	  - מוֹל	- ; (Deuteronomy 1:1), or	- w:	  - '@pron': mole	  - '@xlit': môwʼl	  - מוֹאל	- ; (Nehemiah 12:38), or	- w:	  - '@pron': mool	  - '@xlit': mul	  - מֻל	- ; (Numbers 22:5), from	- w:	  - '@src': H4135	  - '4135'	- ;	◊meaning:	- properly,	- def: abrupt	- ', i.e.'	- def: a precipice	- ; by implication, the	- def: front	- ; used only adverbially (with prepositional prefix)	- def: opposite	usage: (over) against, before, (fore-) front, from, (God-) ward, toward, with.																
